,dataset,horizon,shaping_process,shaping_window,model,metric,value
2,ETTh1,720,ipmutual_info,1001,MLP,rmse,0.3305609195149107
2,ETTh1,720,prollcorr,1001,TFT,rmse,0.3305592986597787
2,ETTh1,720,pmutual_info,1001,TFT,rmse,0.3305026484913372
2,ETTh1,336,iprollcorr,1251,DeepNPTS,rmse,0.3304987995622468
2,ETTh1,336,prollcov,1001,BiTCN,rmse,0.3304891387795456
2,ETTh1,720,iprollcorr,1501,MLP,rmse,0.3304831235520736
2,ETTh1,720,iprollcorr,1001,MLP,rmse,0.3304636137635374
2,ETTh1,720,ipentropy,1251,MLP,rmse,0.3304293179004753
2,ETTh1,336,pmutual_info,751,BiTCN,rmse,0.3303768301826281
2,ETTh1,720,ipmutual_info,751,MLP,rmse,0.3302015032313763
2,ETTh1,720,prollcorr,1501,MLP,rmse,0.3301212254621278
2,ETTh1,96,ipmutual_info,501,NBEATSx,rmse,0.3301122779422916
0,ETTh1,720,pfarm,501,GRU,mse,0.3301027753312308
2,ETTh1,336,pfarm,1501,BiTCN,rmse,0.3301019288111691
2,ETTh1,336,prollcov,501,DeepNPTS,rmse,0.3300711204856215
2,ETTh1,720,ipentropy,1501,MLP,rmse,0.3300518290986446
2,ETTh1,336,pentropy,1501,BiTCN,rmse,0.330015513596883
2,ETTh1,336,iprollcorr,501,MLP,rmse,0.330005061503082
2,ETTh1,720,pfarm,1501,MLP,rmse,0.3299948300025789
2,ETTh1,720,prollcorr,1001,MLP,rmse,0.3299848872666449
1,ETTh1,720,iprollcov,1001,BiTCN,mae,0.3299399210586518
2,ETTh1,720,prollcorr,751,MLP,rmse,0.3299333187772104
2,ETTh1,720,pentropy,1501,MLP,rmse,0.3299227797330263
2,ETTh1,720,iprollcov,501,MLP,rmse,0.3298582640451094
2,ETTh1,720,prollcov,751,MLP,rmse,0.3297409663445768
2,ETTh1,192,prollcov,1501,NHITS,rmse,0.3297196071595293
2,ETTh1,720,ipentropy,1001,TFT,rmse,0.3296445386880828
2,ETTh1,720,pmutual_info,751,MLP,rmse,0.3296390090903857
2,ETTh1,720,prollcov,1001,MLP,rmse,0.329614375177891
2,ETTh1,720,prollcov,1501,MLP,rmse,0.3295887456577077
2,ETTh1,720,pfarm,751,TFT,rmse,0.3295574415749365
2,ETTh1,192,prollcov,501,TSMixerx,rmse,0.3295252551747368
2,ETTh1,720,iprollcorr,501,MLP,rmse,0.3295013488383227
2,ETTh1,720,iprollcov,1501,MLP,rmse,0.3294944417530618
2,ETTh1,720,identity,N/A,MLP,rmse,0.3294692367291709
2,ETTh1,720,prollcov,1251,MLP,rmse,0.3294623056178108
2,ETTh1,720,ipmutual_info,1501,MLP,rmse,0.3294590083379227
2,ETTh1,720,ipentropy,501,MLP,rmse,0.3294558281291095
2,ETTh1,336,ipentropy,1251,TFT,rmse,0.3294488268341929
2,ETTh1,720,ipentropy,1001,MLP,rmse,0.3294165854486512
2,ETTh1,720,pfarm,1001,TSMixerx,rmse,0.3293770171579782
2,ETTh1,720,ipmutual_info,1251,MLP,rmse,0.3293695455693092
2,ETTh1,720,ipmutual_info,1001,TSMixerx,rmse,0.3292681162100897
2,ETTh1,720,iprollcov,1251,MLP,rmse,0.3292677884709448
2,ETTh1,720,ipentropy,751,MLP,rmse,0.3292446024449786
2,ETTh1,720,iprollcorr,751,MLP,rmse,0.3292177911568923
2,ETTh1,720,pfarm,1001,TFT,rmse,0.3292026709658172
2,ETTh1,720,pfarm,501,TSMixerx,rmse,0.3291841965503453
2,ETTh1,336,ipentropy,1251,DeepNPTS,rmse,0.3291560314985688
2,ETTh1,720,prollcorr,1501,TFT,rmse,0.3290549355132969
2,ETTh1,720,iprollcorr,1251,MLP,rmse,0.3290302203076026
2,ETTh1,720,iprollcov,751,MLP,rmse,0.32898852389305
2,ETTh1,720,identity,N/A,TSMixerx,rmse,0.3289840910725195
2,ETTh1,720,ipentropy,1251,TSMixerx,rmse,0.3289839583812801
2,ETTh1,720,pfarm,1501,TSMixerx,rmse,0.328797788926046
2,ETTh1,336,pmutual_info,751,DeepNPTS,rmse,0.3287932609225144
2,ETTh1,720,prollcov,501,TSMixerx,rmse,0.3287319236466646
2,ETTh1,720,pmutual_info,501,TSMixerx,rmse,0.3286992849580949
2,ETTh1,720,iprollcov,1501,TSMixerx,rmse,0.3286749827227067
2,ETTh1,720,prollcov,1001,TiDE,rmse,0.3285738142745056
2,ETTh1,720,prollcov,501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,iprollcov,1001,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pfarm,501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pfarm,1501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,iprollcov,1501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,ipmutual_info,501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,ipentropy,1001,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pmutual_info,1501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pfarm,1251,TiDE,rmse,0.3285738142745056
2,ETTh1,720,prollcorr,1251,TiDE,rmse,0.3285738142745056
2,ETTh1,720,prollcorr,501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,iprollcorr,1001,TiDE,rmse,0.3285738142745056
2,ETTh1,720,iprollcorr,501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pentropy,1251,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pmutual_info,1251,TiDE,rmse,0.3285738142745056
2,ETTh1,720,iprollcorr,1251,TiDE,rmse,0.3285738142745056
2,ETTh1,720,ipmutual_info,1251,TiDE,rmse,0.3285738142745056
2,ETTh1,720,iprollcov,751,TiDE,rmse,0.3285738142745056
2,ETTh1,720,iprollcorr,751,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pfarm,1001,TiDE,rmse,0.3285738142745056
2,ETTh1,720,identity,N/A,TiDE,rmse,0.3285738142745056
2,ETTh1,720,prollcov,751,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pmutual_info,751,TiDE,rmse,0.3285738142745056
2,ETTh1,720,iprollcov,1251,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pentropy,1501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pentropy,1001,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pmutual_info,501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pmutual_info,1001,TiDE,rmse,0.3285738142745056
2,ETTh1,720,ipmutual_info,1501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,ipmutual_info,1001,TiDE,rmse,0.3285738142745056
2,ETTh1,720,ipentropy,501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,ipentropy,751,TiDE,rmse,0.3285738142745056
2,ETTh1,720,prollcorr,1001,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pentropy,501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pentropy,751,TiDE,rmse,0.3285738142745056
2,ETTh1,720,iprollcorr,1501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,iprollcov,501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,ipmutual_info,751,TiDE,rmse,0.3285738142745056
2,ETTh1,720,ipentropy,1501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,pfarm,751,TiDE,rmse,0.3285738142745056
2,ETTh1,720,prollcorr,751,TiDE,rmse,0.3285738142745056
2,ETTh1,720,prollcorr,1501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,prollcov,1501,TiDE,rmse,0.3285738142745056
2,ETTh1,720,prollcov,1251,TiDE,rmse,0.3285738142745056
2,ETTh1,720,ipentropy,1251,TiDE,rmse,0.3285738142745056
2,ETTh1,720,prollcov,1001,TFT,rmse,0.3285428648220683
2,ETTh1,720,ipentropy,501,TSMixerx,rmse,0.3285336325849677
2,ETTh1,720,iprollcorr,1501,TSMixerx,rmse,0.3284790931335789
2,ETTh1,192,prollcorr,1501,NHITS,rmse,0.328471708415516
2,ETTh1,336,pmutual_info,1001,DeepNPTS,rmse,0.3284661409841324
2,ETTh1,336,prollcov,751,BiTCN,rmse,0.3283541970849574
2,ETTh1,720,pfarm,501,TFT,rmse,0.3283016685703717
2,ETTh1,720,ipmutual_info,751,TFT,rmse,0.3282746499941924
2,ETTh1,336,ipmutual_info,751,DeepNPTS,rmse,0.3282105022879532
2,ETTh1,720,iprollcorr,501,TSMixerx,rmse,0.3280759632275072
2,ETTh1,336,pmutual_info,501,DeepNPTS,rmse,0.3280322382116978
2,ETTh1,720,pmutual_info,1501,MLP,rmse,0.3279434995269351
2,ETTh1,720,prollcorr,501,TSMixerx,rmse,0.3279129633464647
2,ETTh1,720,pfarm,751,TSMixerx,rmse,0.3278725617899812
2,ETTh1,720,pmutual_info,751,TFT,rmse,0.3278682741984701
2,ETTh1,720,iprollcorr,1001,TFT,rmse,0.3278142791750395
2,ETTh1,720,pmutual_info,1501,TSMixerx,rmse,0.3277601838443189
2,ETTh1,720,prollcov,1501,TSMixerx,rmse,0.3277081902846875
2,ETTh1,720,prollcorr,1251,TFT,rmse,0.3276673226695238
2,ETTh1,192,ipentropy,1251,NHITS,rmse,0.3276021320885646
2,ETTh1,720,pmutual_info,1251,MLP,rmse,0.3275940533003229
3,ETTh1,720,iprollcov,1001,GRU,mape,0.3275807453086524
2,ETTh1,720,pmutual_info,1001,MLP,rmse,0.3275643032119985
0,ETTh1,720,iprollcov,501,GRU,mse,0.327507565972684
2,ETTh1,336,pentropy,1251,DeepNPTS,rmse,0.3274740765549306
2,ETTh1,336,prollcov,1251,DeepNPTS,rmse,0.3273938808389964
2,ETTh1,336,iprollcov,751,DeepNPTS,rmse,0.3273841114103242
2,ETTh1,336,pmutual_info,1501,DeepNPTS,rmse,0.3273090918799376
2,ETTh1,336,prollcorr,1251,DeepNPTS,rmse,0.3271369033939499
2,ETTh1,720,pentropy,1501,TSMixerx,rmse,0.3271084716412133
2,ETTh1,336,pfarm,1001,DeepNPTS,rmse,0.3270907387394742
0,ETTh1,720,identity,N/A,GRU,mse,0.3270824338992242
2,ETTh1,336,ipmutual_info,501,DeepNPTS,rmse,0.3270629795042156
2,ETTh1,720,ipmutual_info,1501,TFT,rmse,0.3269788517390142
2,ETTh1,720,iprollcov,751,TFT,rmse,0.3268789850526272
2,ETTh1,336,ipentropy,1001,DeepNPTS,rmse,0.326842792499903
2,ETTh1,720,iprollcov,751,TSMixerx,rmse,0.3268286933898187
2,ETTh1,720,pentropy,751,TSMixerx,rmse,0.3267999426117255
3,ETTh1,720,pfarm,1251,GRU,mape,0.326795869082296
2,ETTh1,720,prollcov,1251,TFT,rmse,0.3266365866294516
2,ETTh1,336,iprollcov,1501,DeepNPTS,rmse,0.3265953199303689
2,ETTh1,336,ipmutual_info,1001,DeepNPTS,rmse,0.3265058389199317
2,ETTh1,720,identity,N/A,TFT,rmse,0.3264971094765079
2,ETTh1,720,iprollcorr,751,TFT,rmse,0.3264764033389759
2,ETTh1,336,ipmutual_info,1501,DeepNPTS,rmse,0.3264661601990683
0,ETTh1,720,iprollcorr,1501,GRU,mse,0.3264584436710034
2,ETTh1,336,prollcorr,751,MLP,rmse,0.3264255750238229
2,ETTh1,720,iprollcorr,501,TFT,rmse,0.3264003757441606
2,ETTh1,336,prollcov,1501,DeepNPTS,rmse,0.3263888335903216
2,ETTh1,720,prollcov,751,TFT,rmse,0.3262968811823103
2,ETTh1,336,ipmutual_info,1251,DeepNPTS,rmse,0.3262543837947958
2,ETTh1,720,pmutual_info,501,MLP,rmse,0.3262465701777968
2,ETTh1,336,pentropy,1501,DeepNPTS,rmse,0.3261548575584888
